R_fighter;B_fighter;R_KD;B_KD;R_SIG_STR.;B_SIG_STR.;R_SIG_STR_pct;B_SIG_STR_pct;R_TOTAL_STR.;B_TOTAL_STR.;R_TD;B_TD;R_TD_pct;B_TD_pct;R_SUB_ATT;B_SUB_ATT;R_REV;B_REV;R_CTRL;B_CTRL;R_HEAD;B_HEAD;R_BODY;B_BODY;R_LEG;B_LEG;R_DISTANCE;B_DISTANCE;R_CLINCH;B_CLINCH;R_GROUND;B_GROUND;win_by;last_round;last_round_time;Format;Referee;date;location;Fight_type;Winner
CJ Vergara;Vinicius Salvador;0;0;109 of 181;88 of 195;60%;45%;109 of 181;89 of 196;0 of 0;0 of 2;---;0%;0;0;0;0;0:00;0:01;43 of 102;54 of 154;45 of 57;19 of 25;21 of 22;15 of 16;104 of 176;87 of 194;5 of 5;1 of 1;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Dave Seljestad;July 29, 2023;Salt Lake City, Utah, USA;Flyweight Bout;CJ Vergara
Molly McCann;Julija Stoliarenko;0;0;6 of 16;9 of 29;37%;31%;6 of 16;9 of 29;0 of 0;1 of 1;---;100%;0;1;0;0;0:07;0:19;1 of 11;4 of 20;4 of 4;2 of 3;1 of 1;3 of 6;6 of 16;9 of 29;0 of 0;0 of 0;0 of 0;0 of 0;Submission;1;1:55;3 Rnd (5-5-5);Jason Herzog;July 22, 2023;London, England, United Kingdom;Women's Flyweight Bout;Julija Stoliarenko
Davey Grant;Daniel Marcos;0;0;70 of 215;48 of 140;32%;34%;70 of 215;49 of 141;0 of 1;1 of 1;0%;100%;0;0;0;0;0:06;0:13;17 of 127;21 of 90;27 of 55;6 of 24;26 of 33;21 of 26;70 of 213;47 of 139;0 of 2;1 of 1;0 of 0;0 of 0;Decision - Split;3;5:00;3 Rnd (5-5-5);Marc Goddard;July 22, 2023;London, England, United Kingdom;Bantamweight Bout;Daniel Marcos
Tom Aspinall;Marcin Tybura;1;0;13 of 18;4 of 15;72%;26%;13 of 18;4 of 15;0 of 0;0 of 0;---;---;0;0;0;0;0:05;0:00;12 of 17;2 of 13;1 of 1;2 of 2;0 of 0;0 of 0;7 of 10;4 of 15;0 of 0;0 of 0;6 of 8;0 of 0;KO/TKO;1;1:13;5 Rnd (5-5-5-5-5);Marc Goddard;July 22, 2023;London, England, United Kingdom;Heavyweight Bout;Tom Aspinall
Paul Craig;Andre Muniz;0;0;40 of 82;24 of 40;48%;60%;54 of 101;31 of 47;2 of 2;2 of 2;100%;100%;1;0;0;0;2:56;1:47;31 of 66;15 of 30;8 of 15;2 of 3;1 of 1;7 of 7;10 of 32;15 of 27;0 of 0;1 of 1;30 of 50;8 of 12;KO/TKO;2;4:40;3 Rnd (5-5-5);Daniel Movahedi;July 22, 2023;London, England, United Kingdom;Middleweight Bout;Paul Craig
Jai Herbert;Fares Ziam;0;0;49 of 134;61 of 113;36%;53%;58 of 150;96 of 153;0 of 6;1 of 5;0%;20%;0;0;0;0;4:12;1:30;7 of 79;29 of 74;23 of 31;19 of 23;19 of 24;13 of 16;38 of 119;45 of 93;11 of 15;16 of 20;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jason Herzog;July 22, 2023;London, England, United Kingdom;Lightweight Bout;Fares Ziam
Danny Roberts;Jonny Parsons;0;2;44 of 133;63 of 124;33%;50%;44 of 134;69 of 133;0 of 2;0 of 0;0%;---;0;0;0;0;0:05;1:26;27 of 111;42 of 95;14 of 19;12 of 19;3 of 3;9 of 10;44 of 132;51 of 101;0 of 1;7 of 15;0 of 0;5 of 8;KO/TKO;2;4:57;3 Rnd (5-5-5);Jason Herzog;July 22, 2023;London, England, United Kingdom;Welterweight Bout;Jonny Parsons
Nathaniel Wood;Andre Fili;1;1;84 of 148;58 of 151;56%;38%;108 of 174;76 of 179;1 of 2;0 of 2;50%;0%;0;0;0;1;1:47;2:55;38 of 90;45 of 134;10 of 18;7 of 10;36 of 40;6 of 7;71 of 123;53 of 144;0 of 0;3 of 5;13 of 25;2 of 2;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;July 22, 2023;London, England, United Kingdom;Featherweight Bout;Nathaniel Wood
Mick Parkin;Jamal Pogues;0;0;95 of 156;36 of 135;60%;26%;98 of 159;37 of 136;0 of 0;0 of 1;---;0%;0;0;0;0;0:00;1:17;37 of 94;22 of 119;16 of 20;4 of 6;42 of 42;10 of 10;92 of 151;34 of 132;3 of 5;2 of 3;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Loic Pora;July 22, 2023;London, England, United Kingdom;Heavyweight Bout;Mick Parkin
Marc Diakiese;Joel Alvarez;0;0;20 of 46;42 of 75;43%;56%;29 of 60;64 of 98;2 of 3;0 of 1;66%;0%;0;1;0;0;3:09;1:26;8 of 25;20 of 49;6 of 11;12 of 16;6 of 10;10 of 10;20 of 46;37 of 70;0 of 0;2 of 2;0 of 0;3 of 3;Submission;2;4:26;3 Rnd (5-5-5);Daniel Movahedi;July 22, 2023;London, England, United Kingdom;Lightweight Bout;Joel Alvarez
Lerone Murphy;Josh Culibao;1;0;59 of 109;23 of 59;54%;38%;87 of 144;40 of 77;3 of 5;0 of 2;60%;0%;2;0;0;0;7:38;1:30;37 of 81;16 of 48;15 of 18;5 of 6;7 of 10;2 of 5;24 of 61;19 of 53;12 of 14;4 of 6;23 of 34;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Loic Pora;July 22, 2023;London, England, United Kingdom;Featherweight Bout;Lerone Murphy
Chris Duncan;Yanal Ashmouz;0;0;85 of 206;35 of 98;41%;35%;87 of 209;36 of 100;2 of 4;0 of 1;50%;0%;0;0;0;0;0:48;0:00;54 of 161;15 of 68;23 of 30;8 of 14;8 of 15;12 of 16;82 of 200;34 of 96;3 of 6;1 of 2;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Loic Pora;July 22, 2023;London, England, United Kingdom;Lightweight Bout;Chris Duncan
Makhmud Muradov;Bryan Barberena;2;0;54 of 97;28 of 81;55%;34%;68 of 114;81 of 138;13 of 16;0 of 1;81%;0%;0;0;0;0;5:10;0:02;39 of 77;13 of 56;15 of 20;2 of 4;0 of 0;13 of 21;46 of 79;27 of 79;5 of 11;1 of 2;3 of 7;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;July 22, 2023;London, England, United Kingdom;Middleweight Bout;Makhmud Muradov
Shauna Bannon;Bruna Brasil;0;0;54 of 144;56 of 90;37%;62%;124 of 223;73 of 111;0 of 2;2 of 3;0%;66%;0;0;0;0;1:05;3:21;22 of 84;30 of 58;19 of 38;14 of 19;13 of 22;12 of 13;51 of 139;39 of 72;3 of 5;12 of 13;0 of 0;5 of 5;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Daniel Movahedi;July 22, 2023;London, England, United Kingdom;Women's Strawweight Bout;Bruna Brasil
Ketlen Vieira;Pannie Kianzad;0;0;15 of 33;22 of 51;45%;43%;65 of 103;92 of 144;3 of 3;0 of 0;100%;---;3;0;0;1;10:49;2:11;13 of 31;17 of 45;1 of 1;3 of 4;1 of 1;2 of 2;8 of 25;10 of 30;1 of 2;0 of 0;6 of 6;12 of 21;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jason Herzog;July 22, 2023;London, England, United Kingdom;Women's Bantamweight Bout;Ketlen Vieira
Jafel Filho;Daniel Barez;0;1;21 of 54;18 of 30;38%;60%;23 of 62;18 of 30;1 of 4;0 of 0;25%;---;1;0;0;0;0:55;0:12;11 of 40;8 of 17;8 of 9;7 of 9;2 of 5;3 of 4;21 of 54;18 of 27;0 of 0;0 of 1;0 of 0;0 of 2;Submission;1;3:26;3 Rnd (5-5-5);Marc Goddard;July 22, 2023;London, England, United Kingdom;Flyweight Bout;Jafel Filho
Emily Ducote;Loopy Godinez;0;0;112 of 270;132 of 246;41%;53%;117 of 275;133 of 248;0 of 4;1 of 3;0%;33%;0;0;0;0;0:11;0:13;71 of 214;106 of 214;21 of 33;12 of 18;20 of 23;14 of 14;106 of 262;121 of 232;6 of 8;11 of 14;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Chris Tognoni;May 20, 2023;Las Vegas, Nevada, USA;Catch Weight Bout;Loopy Godinez
Karolina Kowalkiewicz;Vanessa Demopoulos;0;0;139 of 237;68 of 221;58%;30%;148 of 249;83 of 237;0 of 0;0 of 4;---;0%;0;0;0;0;1:52;0:00;94 of 187;49 of 190;30 of 33;13 of 23;15 of 17;6 of 8;134 of 230;65 of 216;5 of 7;3 of 5;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Chris Tognoni;May 20, 2023;Las Vegas, Nevada, USA;Women's Strawweight Bout;Karolina Kowalkiewicz
 Maheshate;Viacheslav Borshchev;0;3;32 of 109;85 of 148;29%;57%;33 of 110;85 of 148;0 of 2;0 of 0;0%;---;0;0;0;0;0:00;0:09;26 of 100;40 of 99;1 of 3;17 of 19;5 of 6;28 of 30;29 of 99;69 of 118;3 of 10;11 of 18;0 of 0;5 of 12;KO/TKO;2;2:37;3 Rnd (5-5-5);Jason Herzog;May 20, 2023;Las Vegas, Nevada, USA;Lightweight Bout;Viacheslav Borshchev
Diego Ferreira;Michael Johnson;1;0;30 of 71;32 of 58;42%;55%;30 of 71;32 of 58;0 of 2;0 of 0;0%;---;0;0;0;0;0:01;0:00;17 of 46;13 of 34;10 of 21;17 of 20;3 of 4;2 of 4;29 of 70;32 of 58;0 of 0;0 of 0;1 of 1;0 of 0;KO/TKO;2;1:50;3 Rnd (5-5-5);Herb Dean;May 20, 2023;Las Vegas, Nevada, USA;Lightweight Bout;Diego Ferreira
Edmen Shahbazyan;Anthony Hernandez;0;0;30 of 51;63 of 88;58%;71%;33 of 55;77 of 105;1 of 1;6 of 15;100%;40%;1;4;0;0;0:41;7:11;21 of 42;55 of 79;8 of 8;4 of 4;1 of 1;4 of 5;17 of 35;15 of 33;11 of 14;8 of 8;2 of 2;40 of 47;KO/TKO;3;1:01;3 Rnd (5-5-5);Herb Dean;May 20, 2023;Las Vegas, Nevada, USA;Middleweight Bout;Anthony Hernandez
Mackenzie Dern;Angela Hill;1;0;126 of 210;66 of 108;60%;61%;247 of 340;94 of 142;3 of 9;0 of 0;33%;---;0;0;0;0;13:12;7:11;104 of 186;27 of 65;18 of 20;39 of 42;4 of 4;0 of 1;58 of 132;35 of 74;19 of 22;30 of 31;49 of 56;1 of 3;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);Jason Herzog;May 20, 2023;Las Vegas, Nevada, USA;Women's Strawweight Bout;Mackenzie Dern
Andre Fialho;Joaquin Buckley;0;1;22 of 51;26 of 89;43%;29%;22 of 51;27 of 90;0 of 0;2 of 3;---;66%;0;0;0;0;0:07;0:23;14 of 42;12 of 66;7 of 8;9 of 18;1 of 1;5 of 5;21 of 50;26 of 89;1 of 1;0 of 0;0 of 0;0 of 0;KO/TKO;2;4:15;3 Rnd (5-5-5);Kerry Hatley;May 20, 2023;Las Vegas, Nevada, USA;Welterweight Bout;Joaquin Buckley
Orion Cosce;Gilbert Urbina;0;1;16 of 32;51 of 82;50%;62%;28 of 48;100 of 139;0 of 0;2 of 2;---;100%;0;1;0;0;0:05;3:06;9 of 23;31 of 56;3 of 5;12 of 16;4 of 4;8 of 10;14 of 29;27 of 55;1 of 2;4 of 4;1 of 1;20 of 23;KO/TKO;2;2:55;3 Rnd (5-5-5);Kerry Hatley;May 20, 2023;Las Vegas, Nevada, USA;Welterweight Bout;Gilbert Urbina
Natalia Silva;Victoria Leonardo;1;0;20 of 45;7 of 18;44%;38%;21 of 46;7 of 18;0 of 0;0 of 1;---;0%;0;0;0;0;0:16;0:00;16 of 41;6 of 14;2 of 2;0 of 3;2 of 2;1 of 1;20 of 44;7 of 18;0 of 0;0 of 0;0 of 1;0 of 0;KO/TKO;1;2:58;3 Rnd (5-5-5);Kerry Hatley;May 20, 2023;Las Vegas, Nevada, USA;Women's Flyweight Bout;Natalia Silva
Ilir Latifi;Rodrigo Nascimento;0;0;49 of 77;68 of 152;63%;44%;76 of 105;76 of 160;2 of 7;0 of 0;28%;---;0;0;0;0;3:50;0:00;20 of 42;51 of 122;18 of 22;10 of 21;11 of 13;7 of 9;46 of 72;61 of 145;1 of 3;7 of 7;2 of 2;0 of 0;Decision - Split;3;5:00;3 Rnd (5-5-5);Herb Dean;May 20, 2023;Las Vegas, Nevada, USA;Heavyweight Bout;Rodrigo Nascimento
Chase Hooper;Nick Fiore;0;0;149 of 245;51 of 90;60%;56%;217 of 340;58 of 98;1 of 10;4 of 8;10%;50%;1;0;1;0;3:54;4:47;110 of 203;49 of 88;31 of 34;1 of 1;8 of 8;1 of 1;97 of 160;34 of 66;42 of 73;11 of 17;10 of 12;6 of 7;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jason Herzog;May 20, 2023;Las Vegas, Nevada, USA;Lightweight Bout;Chase Hooper
Takashi Sato;Themba Gorimbo;0;1;30 of 47;33 of 56;63%;58%;56 of 76;110 of 158;2 of 6;3 of 8;33%;37%;0;0;1;2;2:21;11:15;21 of 37;21 of 41;9 of 10;12 of 15;0 of 0;0 of 0;5 of 16;12 of 25;15 of 16;9 of 12;10 of 15;12 of 19;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Chris Tognoni;May 20, 2023;Las Vegas, Nevada, USA;Welterweight Bout;Themba Gorimbo
Polyana Viana;Iasmin Lucindo;0;0;10 of 25;10 of 24;40%;41%;41 of 68;31 of 48;1 of 3;2 of 2;33%;100%;0;1;0;0;1:58;3:13;2 of 15;5 of 18;4 of 6;4 of 5;4 of 4;1 of 1;10 of 25;9 of 21;0 of 0;0 of 0;0 of 0;1 of 3;Submission;2;3:42;3 Rnd (5-5-5);Chris Tognoni;August 12, 2023;Las Vegas, Nevada, USA;Women's Strawweight Bout;Iasmin Lucindo
Khalil Rountree Jr.;Chris Daukaus;1;0;16 of 24;8 of 21;66%;38%;16 of 24;14 of 28;0 of 0;0 of 1;---;0%;0;0;0;0;0:31;0:04;12 of 19;6 of 19;3 of 4;2 of 2;1 of 1;0 of 0;11 of 17;7 of 19;3 of 4;1 of 2;2 of 3;0 of 0;KO/TKO;1;2:40;3 Rnd (5-5-5);Herb Dean;August 12, 2023;Las Vegas, Nevada, USA;Light Heavyweight Bout;Khalil Rountree Jr.
Vicente Luque;Rafael Dos Anjos;0;0;72 of 141;66 of 136;51%;48%;138 of 221;94 of 170;8 of 11;2 of 7;72%;28%;0;1;0;0;12:01;3:54;48 of 115;42 of 108;17 of 19;19 of 23;7 of 7;5 of 5;60 of 127;38 of 105;8 of 8;26 of 27;4 of 6;2 of 4;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);Mark Smith;August 12, 2023;Las Vegas, Nevada, USA;Welterweight Bout;Vicente Luque
Josh Fremd;Jamie Pickett;0;0;31 of 80;14 of 52;38%;26%;59 of 109;26 of 67;0 of 3;2 of 3;0%;66%;2;0;1;0;7:15;3:01;11 of 49;4 of 31;10 of 18;6 of 16;10 of 13;4 of 5;22 of 64;11 of 45;6 of 11;3 of 7;3 of 5;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;August 12, 2023;Las Vegas, Nevada, USA;Middleweight Bout;Josh Fremd
Cub Swanson;Hakeem Dawodu;0;0;77 of 156;95 of 176;49%;53%;107 of 195;129 of 224;1 of 2;0 of 0;50%;---;0;0;0;1;1:25;3:10;41 of 112;41 of 104;27 of 31;29 of 37;9 of 13;25 of 35;59 of 135;79 of 158;18 of 21;16 of 18;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jason Herzog;August 12, 2023;Las Vegas, Nevada, USA;Featherweight Bout;Cub Swanson
Terrance McKinney;Mike Breeden;0;0;30 of 47;1 of 5;63%;20%;30 of 47;1 of 5;0 of 2;0 of 1;0%;0%;0;0;0;0;0:03;0:00;23 of 36;0 of 4;7 of 11;1 of 1;0 of 0;0 of 0;16 of 30;1 of 5;11 of 14;0 of 0;3 of 3;0 of 0;KO/TKO;1;1:25;3 Rnd (5-5-5);Chris Tognoni;August 12, 2023;Las Vegas, Nevada, USA;Lightweight Bout;Terrance McKinney
Da'Mon Blackshear;Jose Johnson;0;0;18 of 30;8 of 12;60%;66%;30 of 46;16 of 21;2 of 4;0 of 0;50%;---;1;0;0;0;2:57;0:00;7 of 16;4 of 7;2 of 5;2 of 3;9 of 9;2 of 2;5 of 13;7 of 9;6 of 8;0 of 2;7 of 9;1 of 1;Submission;1;3:47;3 Rnd (5-5-5);Mark Smith;August 12, 2023;Las Vegas, Nevada, USA;Bantamweight Bout;Da'Mon Blackshear
AJ Dobson;Tafon Nchukwi;0;0;67 of 134;53 of 99;50%;53%;98 of 176;59 of 106;2 of 3;0 of 0;66%;---;0;0;0;0;4:33;0:00;19 of 75;11 of 47;12 of 18;12 of 15;36 of 41;30 of 37;61 of 119;49 of 92;2 of 5;4 of 7;4 of 10;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;August 12, 2023;Las Vegas, Nevada, USA;Middleweight Bout;AJ Dobson
JP Buys;Marcus McGhee;0;1;4 of 30;7 of 13;13%;53%;4 of 30;7 of 13;0 of 1;0 of 0;0%;---;0;0;0;0;0:00;0:05;2 of 22;6 of 11;1 of 3;0 of 0;1 of 5;1 of 2;4 of 29;7 of 13;0 of 1;0 of 0;0 of 0;0 of 0;KO/TKO;1;2:19;3 Rnd (5-5-5);Jason Herzog;August 12, 2023;Las Vegas, Nevada, USA;Bantamweight Bout;Marcus McGhee
Francis Marshall;Isaac Dulgarian;0;0;2 of 7;35 of 53;28%;66%;11 of 16;61 of 83;0 of 0;1 of 1;---;100%;0;0;0;0;0:00;4:18;0 of 5;32 of 50;0 of 0;0 of 0;2 of 2;3 of 3;2 of 7;3 of 4;0 of 0;0 of 0;0 of 0;32 of 49;KO/TKO;1;4:48;3 Rnd (5-5-5);Jason Herzog;August 12, 2023;Las Vegas, Nevada, USA;Featherweight Bout;Isaac Dulgarian
Josh Parisian;Martin Buday;0;0;26 of 61;42 of 67;42%;62%;27 of 63;62 of 91;0 of 0;1 of 1;---;100%;0;1;0;0;0:13;1:56;15 of 49;35 of 60;6 of 7;7 of 7;5 of 5;0 of 0;20 of 47;28 of 49;6 of 14;14 of 18;0 of 0;0 of 0;Submission;1;4:11;3 Rnd (5-5-5);Herb Dean;August 12, 2023;Las Vegas, Nevada, USA;Heavyweight Bout;Martin Buday
Juliana Miller;Luana Santos;0;0;24 of 75;63 of 105;32%;60%;25 of 77;64 of 106;0 of 2;0 of 0;0%;---;0;0;0;0;0:29;0:26;15 of 61;44 of 82;9 of 13;16 of 20;0 of 1;3 of 3;18 of 64;53 of 88;6 of 11;10 of 17;0 of 0;0 of 0;KO/TKO;1;3:41;3 Rnd (5-5-5);Jason Herzog;August 12, 2023;Las Vegas, Nevada, USA;Women's Flyweight Bout;Luana Santos
Jaqueline Amorim;Montserrat Conejo Ruiz;0;0;86 of 136;6 of 36;63%;16%;141 of 208;20 of 57;1 of 3;1 of 1;33%;100%;4;0;2;0;8:05;3:39;76 of 120;2 of 29;9 of 14;2 of 4;1 of 2;2 of 3;6 of 15;5 of 31;0 of 0;0 of 1;80 of 121;1 of 4;KO/TKO;3;3:41;3 Rnd (5-5-5);Chris Tognoni;August 12, 2023;Las Vegas, Nevada, USA;Women's Strawweight Bout;Jaqueline Amorim
Jairzinho Rozenstruik;Jailton Almeida;0;0;0 of 2;4 of 7;0%;57%;3 of 6;14 of 19;0 of 0;1 of 2;---;50%;0;1;0;0;0:00;3:09;0 of 2;3 of 5;0 of 0;1 of 2;0 of 0;0 of 0;0 of 2;0 of 2;0 of 0;0 of 0;0 of 0;4 of 5;Submission;1;3:43;5 Rnd (5-5-5-5-5);Dan Miragliotta;May 13, 2023;Charlotte, North Carolina, USA;Heavyweight Bout;Jailton Almeida
Carlos Ulberg;Ihor Potieria;1;0;13 of 21;5 of 9;61%;55%;13 of 21;5 of 9;0 of 0;0 of 1;---;0%;0;0;0;0;0:08;0:00;11 of 18;1 of 4;1 of 1;0 of 0;1 of 2;4 of 5;5 of 11;5 of 9;0 of 0;0 of 0;8 of 10;0 of 0;KO/TKO;1;2:09;3 Rnd (5-5-5);Keith Peterson;May 13, 2023;Charlotte, North Carolina, USA;Light Heavyweight Bout;Carlos Ulberg
Anthony Smith;Johnny Walker;0;0;38 of 92;92 of 192;41%;47%;41 of 95;99 of 204;1 of 3;1 of 1;33%;100%;0;0;0;0;1:22;0:32;19 of 64;32 of 117;10 of 17;9 of 19;9 of 11;51 of 56;38 of 91;81 of 178;0 of 1;6 of 8;0 of 0;5 of 6;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;May 13, 2023;Charlotte, North Carolina, USA;Light Heavyweight Bout;Johnny Walker
Tim Means;Alex Morono;0;0;40 of 87;33 of 92;45%;35%;45 of 92;42 of 102;2 of 2;0 of 0;100%;---;0;1;0;0;0:46;0:00;16 of 52;29 of 86;18 of 29;4 of 6;6 of 6;0 of 0;30 of 74;31 of 86;10 of 13;2 of 6;0 of 0;0 of 0;Submission;2;2:09;3 Rnd (5-5-5);Wayne Spinola;May 13, 2023;Charlotte, North Carolina, USA;Welterweight Bout;Alex Morono
Daniel Rodriguez;Ian Machado Garry;0;1;7 of 25;23 of 46;28%;50%;7 of 25;23 of 46;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:10;2 of 17;19 of 42;2 of 5;4 of 4;3 of 3;0 of 0;7 of 25;12 of 28;0 of 0;0 of 0;0 of 0;11 of 18;KO/TKO;1;2:57;3 Rnd (5-5-5);Dan Miragliotta;May 13, 2023;Charlotte, North Carolina, USA;Welterweight Bout;Ian Machado Garry
Karl Williams;Chase Sherman;0;0;70 of 165;54 of 158;42%;34%;85 of 191;64 of 170;1 of 10;0 of 0;10%;---;0;0;0;0;2:35;0:12;53 of 147;26 of 124;6 of 6;10 of 15;11 of 12;18 of 19;65 of 159;46 of 148;2 of 3;8 of 10;3 of 3;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;May 13, 2023;Charlotte, North Carolina, USA;Heavyweight Bout;Karl Williams
Jessica-Rose Clark;Tainara Lisboa;0;0;26 of 60;42 of 83;43%;50%;28 of 66;97 of 145;1 of 7;1 of 2;14%;50%;0;1;0;0;7:36;2:09;20 of 51;30 of 67;1 of 2;11 of 14;5 of 7;1 of 2;23 of 53;29 of 64;2 of 5;11 of 16;1 of 2;2 of 3;Submission;3;4:20;3 Rnd (5-5-5);Larry Carter;May 13, 2023;Charlotte, North Carolina, USA;Women's Bantamweight Bout;Tainara Lisboa
Cody Stamann;Douglas Silva de Andrade;1;0;54 of 139;61 of 178;38%;34%;66 of 152;72 of 189;1 of 5;0 of 1;20%;0%;0;0;0;0;1:59;0:00;40 of 116;17 of 108;9 of 17;23 of 43;5 of 6;21 of 27;49 of 133;60 of 175;0 of 0;1 of 3;5 of 6;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Wayne Spinola;May 13, 2023;Charlotte, North Carolina, USA;Catch Weight Bout;Douglas Silva de Andrade
Matt Brown;Court McGee;1;0;11 of 15;8 of 31;73%;25%;22 of 26;17 of 48;0 of 0;1 of 1;---;100%;0;0;0;0;0:02;1:57;2 of 4;2 of 21;3 of 4;2 of 5;6 of 7;4 of 5;10 of 14;6 of 29;1 of 1;2 of 2;0 of 0;0 of 0;KO/TKO;1;4:09;3 Rnd (5-5-5);Dan Miragliotta;May 13, 2023;Charlotte, North Carolina, USA;Welterweight Bout;Matt Brown
Ji Yeon Kim;Mandy Bohm;0;0;10 of 36;17 of 31;27%;54%;32 of 62;25 of 51;0 of 1;2 of 6;0%;33%;1;1;1;1;5:44;4:05;5 of 31;9 of 19;3 of 3;3 of 7;2 of 2;5 of 5;7 of 32;10 of 21;3 of 3;5 of 8;0 of 1;2 of 2;Decision - Split;3;1:55;3 Rnd (5-5-5);Larry Carter;May 13, 2023;Charlotte, North Carolina, USA;Women's Flyweight Bout;Mandy Bohm
Bryan Battle;Gabe Green;1;0;3 of 9;6 of 12;33%;50%;3 of 9;6 of 12;0 of 0;0 of 0;---;---;0;0;0;0;0:03;0:00;3 of 9;2 of 8;0 of 0;2 of 2;0 of 0;2 of 2;2 of 7;6 of 12;0 of 0;0 of 0;1 of 2;0 of 0;KO/TKO;1;0:14;3 Rnd (5-5-5);Wayne Spinola;May 13, 2023;Charlotte, North Carolina, USA;Welterweight Bout;Bryan Battle
Nicolas Dalby;Muslim Salikhov;0;0;86 of 140;57 of 88;61%;64%;104 of 158;70 of 101;2 of 5;2 of 2;40%;100%;0;0;0;0;6:36;0:55;41 of 84;34 of 58;36 of 43;21 of 28;9 of 13;2 of 2;43 of 91;47 of 78;36 of 41;10 of 10;7 of 8;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;June 17, 2023;Las Vegas, Nevada, USA;Welterweight Bout;Nicolas Dalby
Manuel Torres;Nikolas Motta;1;0;13 of 17;7 of 14;76%;50%;13 of 17;7 of 14;0 of 0;0 of 0;---;---;0;0;0;0;0:01;0:00;3 of 7;3 of 10;6 of 6;1 of 1;4 of 4;3 of 3;12 of 16;7 of 14;0 of 0;0 of 0;1 of 1;0 of 0;KO/TKO;1;1:50;3 Rnd (5-5-5);Herb Dean;June 17, 2023;Las Vegas, Nevada, USA;Lightweight Bout;Manuel Torres
Kyung Ho Kang;Cristian Quinonez;1;0;22 of 37;13 of 29;59%;44%;31 of 46;13 of 29;1 of 1;0 of 0;100%;---;1;0;0;0;0:40;0:00;14 of 28;11 of 27;3 of 4;0 of 0;5 of 5;2 of 2;17 of 31;13 of 29;0 of 0;0 of 0;5 of 6;0 of 0;Submission;1;2:25;3 Rnd (5-5-5);Chris Tognoni;June 17, 2023;Las Vegas, Nevada, USA;Bantamweight Bout;Kyung Ho Kang
Pat Sabatini;Lucas Almeida;0;0;27 of 35;2 of 4;77%;50%;88 of 97;3 of 5;2 of 3;0 of 0;66%;---;1;0;0;0;6:27;0:00;25 of 32;0 of 2;1 of 2;1 of 1;1 of 1;1 of 1;1 of 2;1 of 3;2 of 2;1 of 1;24 of 31;0 of 0;Submission;2;1:48;3 Rnd (5-5-5);Chris Tognoni;June 17, 2023;Las Vegas, Nevada, USA;Featherweight Bout;Pat Sabatini
Armen Petrosyan;Christian Leroy Duncan;0;0;89 of 156;59 of 122;57%;48%;111 of 179;73 of 136;1 of 2;0 of 3;50%;0%;0;0;0;0;3:21;1:09;37 of 90;23 of 72;15 of 22;8 of 16;37 of 44;28 of 34;77 of 139;58 of 121;10 of 14;0 of 0;2 of 3;1 of 1;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;June 17, 2023;Las Vegas, Nevada, USA;Middleweight Bout;Armen Petrosyan
Carlos Hernandez;Denys Bondar;0;0;102 of 233;76 of 170;43%;44%;108 of 239;82 of 176;2 of 7;2 of 5;28%;40%;0;0;0;0;0:40;0:29;87 of 213;37 of 121;12 of 17;29 of 38;3 of 3;10 of 11;78 of 209;68 of 157;17 of 17;7 of 12;7 of 7;1 of 1;Decision - Unanimous;3;4:59;3 Rnd (5-5-5);Jerin Valel;June 17, 2023;Las Vegas, Nevada, USA;Flyweight Bout;Carlos Hernandez
