fighter,Weight Division,Gender,Image URL
Aiemann Zahabi,135,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-06/ZAHABI_AIEMANN_L_06-10.png?itok=6Btbq7OV
Ailin Perez,145,0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-09/PEREZ_AILIN_L_09-03.png?itok=TCgXFbZj
Ailin Perez,135,0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-09/PEREZ_AILIN_L_09-03.png?itok=TCgXFbZj
Aisling Daly,115,0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/67171/profile-galery/fullbodyleft-picture/Aisling-Daly_501698_LeftFullBodyImage.png?VersionId=LzCLq2ctHFnBy9bJ73ZNwY1eAXlY7.u2&itok=lIIScuNI
Akbarh Arreola,155,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-08/Akbarh-Arreola_486122_LeftFullBodyImage.png?itok=_VP1ckPm
Akihiro Gono,170,1,https://i.ibb.co/Y0B2Gc5/fighter-shadow.png
Akira Corassani,145,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-08/Akira-Corassani_238066_LeftFullBodyImage.png?itok=olqOcgA-
Al Iaquinta,155,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-11/67178%252Fprofile-galery%252Ffullbodyleft-picture%252FIAQUINTA_AL_L_11-06.png?itok=jbrBmHUr
Alan Baudot,265,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-02/43c435e6-4a84-4b86-8672-1cd4f415dc63%252FBAUDOT_ALAN_L_02-19.png?itok=ud2fb_S0
Alan Belcher,185,1,https://i.ibb.co/Y0B2Gc5/fighter-shadow.png
Alan Belcher,205,1,https://i.ibb.co/Y0B2Gc5/fighter-shadow.png
Alan Jouban,170,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-05/67181%252Fprofile-galery%252Ffullbodyleft-picture%252FJOUBAN_ALAN_L_04-13.png?itok=HsvRfuY2
Alan Omer,145,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-08/Alan-Omer_474002_LeftFullBodyImage.png?itok=UD_8wtP_
Alan Patrick,155,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-08/2d452983-441e-45e0-8c54-2175f9117930%252FPATRICK_ALAN_L_05-14.png?itok=OReZT7qI
Alatengheili,135,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-04/HEILI_ALATENG_L_09-18.png?itok=i99joWRE
Albert Cheng,170,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/fighter_images/Albert_Cheng/ALBERT-CHENG-2013-10-17-075.png?VersionId=BtZhf1U5ODcCIUqNLCJcu6pf1UkhVz7x&itok=yjzRcDlo
Albert Duraev,185,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-07/DURAEV_ALBERT_L_07-15.png?itok=XuE8N1El
Albert Morales,135,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-08/Albert-Morales_602347_LeftFullBodyImage.png?itok=5BMGDv5T
Albert Tumenov,170,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-08/Albert-Tumenov_466036_LeftFullBodyImage.png?itok=jIy-rk2j
Alberto Crane,155,1,https://i.ibb.co/Y0B2Gc5/fighter-shadow.png
Alberto Mina,170,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/67191/profile-galery/fullbodyleft-picture/Alberto-Mina_472511_LeftFullBodyImage.png?itok=3MlkyB7J
Alberto Uda,185,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/67192/profile-galery/fullbodyleft-picture/alberto-uda_586048_LeftFullBodyImage.png?VersionId=FEbaJLU6kf6SAitgfHLc5yuCPV7FEjf.&itok=k0EpTbB2
